Credit Score,Geography,Gender,Age,Customer Since,Current Account,Num of products,UPI Enabled,Estimated Yearly Income,Closed
553,Delhi,Female,45,4,0,4,1,274150,0
447,Bengaluru,Male,31,7,0,4,1,519360,0
501,Delhi,Female,32,2,0,4,1,545501,0
428,Delhi,Male,51,3,0,4,1,86868,0
492,Delhi,Female,57,6,1912681.501,2,1,518680,0
649,Mumbai,Male,61,4,1739005.126,2,1,86816,1
624,Mumbai,Male,54,6,1741981.923,4,1,72959,1
510,Bengaluru,Male,74,8,0,4,1,295115,0
573,Mumbai,Male,45,8,1245561.866,4,1,471174,1
517,Delhi,Female,62,6,2210750.266,4,0,149488,1
562,Bengaluru,Female,65,3,0,2,1,481784,1
670,Bengaluru,Female,42,4,2308652.503,2,1,475408,0
443,Mumbai,Female,57,4,1288184.169,2,0,273771,1
484,Bengaluru,Female,56,8,0,2,1,201349,1
521,Mumbai,Male,56,4,1331842.505,4,1,427076,0
423,Bengaluru,Male,45,5,1965149.015,2,0,285269,0
590,Delhi,Male,41,4,1503298.732,2,0,359396,1
514,Delhi,Female,31,3,0,4,1,542388,0
601,Bengaluru,Female,42,6,1283655.127,2,0,221609,0
427,Bengaluru,Female,53,8,1504102.953,4,0,224988,0
448,Delhi,Female,64,4,0,4,1,421709,0
445,Mumbai,Male,32,8,791983.0049,2,1,211179,0
422,Bengaluru,Male,20,1,1977181.973,4,1,533905,0
504,Bengaluru,Male,70,0,0,5,0,166612,1
445,Bengaluru,Female,32,5,0,4,1,50610,0
533,Mumbai,Male,41,8,1566158.59,2,1,25157,0
442,Bengaluru,Male,35,6,1993485.647,2,1,308977,0
342,Mumbai,Male,34,1,1338249.49,4,1,27138,0
527,Mumbai,Male,39,3,2338926.609,4,1,405306,0
606,Bengaluru,Female,39,8,1090197.284,4,1,442538,0
631,Bengaluru,Female,32,4,0,4,1,135178,0
567,Mumbai,Female,51,7,1259046.095,2,1,183277,1
554,Delhi,Female,32,2,1668091.781,2,1,494797,0
505,Delhi,Male,77,2,0,4,1,469510,0
593,Delhi,Male,50,6,0,4,1,159646,1
566,Bengaluru,Female,30,4,2451438.911,2,1,319113,0
496,Mumbai,Female,41,6,1453067.581,2,0,116666,0
493,Bengaluru,Female,41,1,2142538.249,2,1,527111,1
447,Delhi,Male,45,6,0,2,0,222638,1
470,Bengaluru,Male,39,8,0,4,1,68939,0
506,Delhi,Male,57,5,1907026.748,2,0,274486,0
433,Bengaluru,Female,51,8,0,4,0,522142,1
553,Bengaluru,Male,45,4,0,2,0,473826,1
379,Bengaluru,Female,47,4,1075301.104,2,1,386893,1
488,Bengaluru,Male,30,5,0,4,0,143001,0
608,Bengaluru,Male,47,3,0,2,0,158412,1
448,Bengaluru,Male,22,6,1851089.428,2,1,355881,0
497,Bengaluru,Female,92,4,939349.81,4,1,401244,0
587,Bengaluru,Female,41,1,2133977.595,4,1,136043,0
493,Mumbai,Female,45,7,1797700.61,4,1,86877,0
631,Mumbai,Male,44,4,1614572.63,4,1,43279,1
454,Delhi,Female,54,4,0,2,1,361131,0
483,Mumbai,Female,94,2,2719873.123,4,0,290146,0
414,Mumbai,Female,30,0,1146366.832,4,1,405260,0
503,Bengaluru,Male,34,4,0,4,1,79938,0
442,Mumbai,Male,42,3,1565996.463,4,0,93151,0
614,Bengaluru,Male,30,6,1603310.756,2,0,517421,0
570,Bengaluru,Female,56,4,1141088.438,2,1,269253,1
631,Bengaluru,Male,35,2,1343407.976,4,1,441305,0
576,Bengaluru,Male,57,0,1637684.399,4,0,363659,1
586,Mumbai,Male,31,6,1303890.564,2,1,191526,1
634,Mumbai,Male,42,2,1668029.966,2,1,18054,1
487,Bengaluru,Male,47,2,2424365.38,2,1,378045,1
574,Bengaluru,Female,36,3,1943844.754,4,1,311918,0
644,Bengaluru,Female,38,6,0,4,1,265037,0
417,Bengaluru,Male,48,7,1956492.368,2,1,177732,1
405,Mumbai,Male,35,7,1389187.056,7,1,26023,1
487,Bengaluru,Female,57,2,0,4,1,509930,0
661,Bengaluru,Female,31,5,0,4,0,460358,0
425,Bengaluru,Male,38,3,0,4,1,10670,0
692,Mumbai,Male,57,4,1193138.585,4,1,334647,0
453,Bengaluru,Male,56,4,1145737.235,4,1,318858,0
582,Bengaluru,Male,44,4,1504455.542,2,1,15574,1
383,Bengaluru,Male,75,4,1440834.674,2,1,99498,0
496,Delhi,Male,34,4,0,4,0,174628,0
574,Delhi,Male,42,6,0,4,1,303847,0
595,Bengaluru,Male,48,8,2081687.642,2,1,243253,0
466,Bengaluru,Male,32,5,0,4,1,181351,0
586,Bengaluru,Male,44,8,0,4,1,154061,1
392,Bengaluru,Male,39,2,1748220.236,2,0,219072,0
423,Mumbai,Female,38,7,1528055.975,4,1,941,0
417,Mumbai,Male,35,2,1584317.571,4,1,219517,0
495,Mumbai,Male,59,2,1660174.199,4,1,88230,0
692,Delhi,Female,64,3,1361117.586,4,1,34133,1
510,Bengaluru,Male,20,6,1189599.745,2,1,463462,0
363,Bengaluru,Male,64,4,1285176.379,2,0,193470,0
490,Delhi,Female,38,7,1180074.402,2,1,108339,0
496,Bengaluru,Male,28,8,2212702.272,2,0,283249,0
555,Bengaluru,Male,39,2,2609852.675,2,1,174630,1
509,Delhi,Female,31,6,0,4,1,135244,0
478,Bengaluru,Male,56,5,1033191.346,2,0,192404,0
570,Mumbai,Female,41,6,1134524.012,4,1,518063,0
601,Bengaluru,Female,75,2,1230159.957,2,1,197731,0
626,Bengaluru,Male,45,7,0,2,0,57581,0
473,Bengaluru,Male,70,5,0,2,1,61488,0
589,Bengaluru,Male,94,4,1492534.685,2,1,170640,0
496,Bengaluru,Female,35,6,784592.3308,2,1,416250,0
482,Bengaluru,Male,44,4,0,4,1,96824,0
